organisme;label_vvf;rue_1;rue_2;rue_3;code_departement;cp;ville;geocode2
MAIRIE DE POISSY;3 fleurs;Hôtel de Ville;Place de la République;;78;78300.0;POISSY;48.9235359371, 2.02715552772
MAIRIE DE SARTROUVILLE;3 fleurs;Hôtel de Ville;Place de l'Hôtel de Ville;BP 275;78;78506.0;SARTROUVILLE;48.9408248, 2.1579637
MAIRIE DE MORIGNY-CHAMPIGNY;2 fleurs;Hôtel de Ville;8 rue de la Mairie;;91;91150.0;MORIGNY-CHAMPIGNY;48.4555830213, 2.05114682408
MAIRIE DE SOUZY-LA-BRICHE;2 fleurs;Hôtel de Ville;4 chemin des Sources;;91;91580.0;SOUZY LA BRICHE;48.4773721699, 2.22600147466
MAIRIE DE VILLEMOMBLE;3 fleurs;Hôtel de Ville;13 bis rue d'Avron;;93;93250.0;VILLEMOMBLE;48.8848370021, 2.50893406035
MAIRIE DE CESSON;1 fleur;Hôtel de Ville;8 route de Saint-Leu;B.P. 35;77;77245.0;CESSON CEDEX;48.5626621, 2.6025341
MAIRIE DE NEUILLY-SUR-SEINE;3 fleurs;Hôtel de Ville;96 avenue Achille Peretti;;92;92200.0;NEUILLY SUR SEINE;48.8853719688, 2.26642584746
MAIRIE DE NOISY-LE-SEC;1 fleur;Hôtel de Ville;Place du Maréchal Foch;;93;93134.0;NOISY LE SEC CEDEX;48.8900959, 2.4513005
MAIRIE DE VILLEPINTE;3 fleurs;Hôtel de Ville;Place de l'Hôtel de Ville;;93;93420.0;VILLEPINTE;48.9590202538, 2.53630634206
MAIRIE DE GENTILLY;1 fleur;Hôtel de Ville;14 place Henri Barbusse;;94;94250.0;GENTILLY;48.8132044389, 2.34420659702
MAIRIE DE BONNEUIL-SUR-MARNE;3 fleurs;Hôtel de Ville;7 rue d'Estienne d'Orves;;94;94380.0;BONNEUIL SUR MARNE;48.7733620104, 2.48799310463
MAIRIE DE SOISY SOUS MONTMORENCY;4 fleurs;Hôtel de Ville;2 avenue du Général de Gaulle;;95;95230.0;SOISY-SOUS-MONTMORENCY;48.9884077875, 2.30049978342
MAIRIE DE ROISSY-EN-FRANCE;2 fleurs;Hôtel de Ville;40 avenue Charles de Gaulle;;95;95700.0;ROISSY EN FRANCE;49.00660444, 2.51417743519
MAIRIE DE LA CELLE-SUR-MORIN;3 fleurs;Hôtel de Ville;Rue en Bas;;77;77515.0;LA CELLE SUR MORIN;48.7783722685, 3.00021735955
MAIRIE DU MESNIL-LE-ROI;3 fleurs;Hôtel de Ville;1 rue du Général Leclerc;;78;78605.0;LE MESNIL-LE-ROI CEDEX;48.9288259, 2.1226935
MAIRIE DE CHAVILLE;3 fleurs;Hôtel de Ville;1456 av Roger Salengro;;92;92370.0;CHAVILLE;48.8076083562, 2.19234061062
MAIRIE D'ABLON-SUR-SEINE;1 fleur;Hôtel de Ville;16 rue du Maréchal Foch;;94;94480.0;ABLON SUR SEINE;48.7238409464, 2.42117629348
MAIRIE D'ARGENTEUIL;3 fleurs;Hôtel de Ville;12-14 boulevardd Léon Feix;;95;95107.0;ARGENTEUIL;48.9468545, 2.2492426
MAIRIE D'EMERAINVILLE;2 fleurs;Hôtel de Ville;16 place de l'Europe;;77;77184.0;EMERAINVILLE;48.8197762376, 2.60897006725
MAIRIE DE CLAYE-SOUILLY;4 fleurs;Hôtel de Ville;Allée André Benoist;;77;77410.0;CLAYE SOUILLY;48.932278559, 2.76825616233
MAIRIE DE LIZY-SUR-OURCQ;1 fleur;Hôtel de Ville;Place de Verdun;;77;77440.0;LIZY-SUR-OURCQ;49.0533468836, 2.98533936874
MAIRIE DE LIMAY;3 fleurs;Hôtel de Ville;5 avenue du Président Wilson;;78;78520.0;LIMAY;49.0229954846, 1.70861078904
MAIRIE DE BUC;2 fleurs;Hôtel de Ville;3 rue des Frères Robin;B.P. 90236;78;78532.0;BUC CEDEX;48.7741842, 2.1260828
MAIRIE DE CLICHY-LA-GARENNE;3 fleurs;Hôtel de Ville;80 bd Jean Jaurès;BP 300;92;92112.0;CLICHY LA GARENNE;48.9024706, 2.3042784
MAIRIE DE TOURNAN-EN-BRIE;1 fleur;Hôtel de Ville;Place Edmond de Rothschild;BP 10027;77;77221.0;TOURNAN-EN-BRIE CEDEX;48.7408504, 2.7641111
MAIRIE DE PONTAULT-COMBAULT;1 fleur;Hôtel de Ville;;;77;77347.0;PONTAULT COMBAULT;48.7774398, 2.6057343
MAIRIE DE VIRY-CHATILLON;3 fleurs;Hôtel de Ville;28 place de la République;BP 43;91;91178.0;VIRY CHATILLON;48.6710573, 2.3773438
MAIRIE DE MELUN;4 fleurs;Hôtel de Ville;Rue Paul Doumer;;77;77000.0;MELUN;48.5051016281, 2.68647821336
MAIRIE DE BRIE-COMTE-ROBERT;3 fleurs;Hôtel de Ville;2 rue de Verdun;;77;77170.0;BRIE COMTE ROBERT CEDEX;48.6782857887, 2.70838590882
MAIRIE DE NANGIS;1 fleur;Hôtel de Ville;Rue du Maréchal de Lattre de Tassigny;B.P.55;77;77370.0;NANGIS;48.5410434258, 3.07288099272
MAIRIE DE CHELLES;3 fleurs;Hôtel de Ville;Parc du Souvenir Emile Fouchard;;77;77505.0;CHELLES CEDEX;48.8777868, 2.5898149
MAIRIE D'ASNIERES;1 fleur;Hôtel de Ville;B.P. 217;;92;92602.0;ASNIERES-SUR-SEINE CEDEX;48.9065157, 2.2863611
MAIRIE DE CHOISY-LE-ROI;3 fleurs;Hôtel de Ville;Place Gabriel Péri;BP 208;94;94607.0;CHOISY LE ROI CEDEX;48.7978401, 2.3994653
MAIRIE DE VILLEJUIF;2 fleurs;Hôtel de Ville;1 place de la Mairie;;94;94807.0;VILLEJUIF;48.7922674, 2.363044
MAIRIE D'ANDRESY;2 fleurs;Hôtel de Ville;4 Boulevard Noël Marc;;78;78570.0;ANDRESY;48.9759961298, 2.03199829577
MAIRIE DE COURCOURONNES;2 fleurs;Hôtel de Ville;2 rue Paul Puech;;91;91080.0;COURCOURONNES;48.6216349774, 2.41288009058
MAIRIE D'ETAMPES;3 fleurs;Hôtel de Ville;Place de l'Hôtel de Ville;BP 109;91;91152.0;ETAMPES CEDEX;48.434416, 2.16142
MAIRIE DE RUEIL-MALMAISON;4 fleurs;Hôtel de Ville;13 boulevard Foch;;92;92500.0;RUEIL-MALMAISON;48.8691897371, 2.1773406315
MAIRIE DE FRANCONVILLE;3 fleurs;Hôtel de Ville;11 rue de la Station;BP 90043;95;95132.0;FRANCONVILLE;48.986011, 2.229632
MAIRIE DE MARINES;1 fleur;Hôtel de Ville;Place du Maréchal Leclerc;BP 21;95;95640.0;MARINES;49.1480448573, 1.98376019265
MAIRIE DE MOUROUX;1 fleur;Hôtel de Ville;Place de la Mairie;;77;77120.0;MOUROUX;48.8488670481, 3.08940930217
MAIRIE DE VAIRES-SUR-MARNE;3 fleurs;Hôtel de Ville;26 boulevard de Lorraine;;77;77360.0;VAIRES-SUR-MARNE;48.8697812117, 2.63565952774
MAIRIE DE MOISSY-CRAMAYEL;3 fleurs;Hôtel de Ville;6 place du Souvenir;BP 24;77;77557.0;MOISSY-CRAMAYEL;48.6270522, 2.592993
MAIRIE DE LOUVECIENNES;3 fleurs;Hôtel de Ville;30 rue du Général Leclerc;;78;78430.0;LOUVECIENNES;48.8590188206, 2.11364039022
MAIRIE DE FORGES-LES-BAINS;1 fleur;Hôtel de Ville;9 rue du Docteur Babin;;91;91470.0;FORGES LES BAINS;48.6753515056, 2.04828313772
MAIRIE DE NANTERRE;2 fleurs;Hôtel de Ville;88-188 rue du 8 Mai 1945;;92;92000.0;NANTERRE;48.8960701282, 2.20671346353
MAIRIE DE STAINS;2 fleurs;Hôtel de Ville;6 avenue Paul Vaillant Couturier;;93;93240.0;STAINS;48.9567775699, 2.3854495629
MAIRIE D'EAUBONNE;3 fleurs;Hôtel de Ville;1 rue d'Enghien;;95;95600.0;EAUBONNE;48.9909940165, 2.27800925488
MAIRIE DE LE PECQ;3 fleurs;Hôtel de Ville;13 Bis Quai Maurice Berteaux;BP 60;78;78231.0;LE PECQ CEDEX;48.8971348, 2.1068152
MAIRIE DE PALAISEAU;2 fleurs;Hôtel de Ville;91 rue de Paris;;91;91520.0;PALAISEAU;48.5778313904, 2.22141176606
MAIRIE DE MEUDON;4 fleurs;Hôtel de Ville;6 avenue Le Corbeiller;;92;92190.0;MEUDON;48.8037275796, 2.22696287829
MAIRIE DE SANTENY;2 fleurs;Hôtel de Ville;Place du Général De Gaulle;;94;94440.0;SANTENY;48.7394780616, 2.55491338455
MAIRIE DE PARMAIN;2 fleurs;Hôtel de Ville;2 place Georges Clémenceau;;95;95620.0;PARMAIN;49.1228699088, 2.201277887
MAIRIE DE MONTEREAU-FAULT-YONNE;3 fleurs;Hôtel de Ville;54 rue Jean Jaurès;;77;77130.0;MONTEREAU FAULT YONNE;48.3838863955, 3.03202165862
MAIRIE DE LOGNES;2 fleurs;Hôtel de Ville;6 Grande allée Charmilles;;77;77185.0;LOGNES;48.8332806021, 2.63346363172
MAIRIE DU MEE-SUR-SEINE;4 fleurs;Hôtel de Ville;111 rue de la Vive;;77;77350.0;LE MEE-SUR-SEINE;48.523493031, 2.6146358615
MAIRIE DE GRESSY;1 fleur;Hôtel de Ville;12 avenue du Château;;77;77410.0;GRESSY;48.932278559, 2.76825616233
MAIRIE DE VERSAILLES;3 fleurs;Hôtel de Ville;4 avenue de Paris;RP 1144;78;78011.0;VERSAILLES CEDEX;48.8017655, 2.1300887
MAIRIE DE TIGERY;2 fleurs;Hôtel de Ville;2 Place Liedekerke-Beaufort;B.P. 24;91;91250.0;TIGERY;48.5930107359, 2.4941919266
